整租·银谷美泉家园2室2厅南/北 124.00㎡ 南北 2室2厅2卫,朝阳朝青银谷美泉家园
整租·京投银泰万科西华府3室2厅南/北 138.00㎡ 南北 3室2厅2卫,丰台科技园区京投银泰万科西华府
整租·裕民东里2室1厅南 58.00㎡ 南 2室1厅1卫,朝阳马甸裕民东里
整租·金海国际南区1室1厅西 66.17㎡ 西 1室1厅1卫,朝阳百子湾金海国际南区
整租·新裕家园1室0厅北 37.00㎡ 北 1室0厅1卫,东城崇文门新裕家园
整租·金顶阳光2室1厅南/北 90.00㎡ 南北 2室1厅1卫,石景山苹果园金顶阳光
整租·金隅可乐1房间西北 72.00㎡ 西北 1房间1卫,朝阳双桥金隅可乐
整租·顺悦家园2室1厅南 65.00㎡ 南 2室1厅1卫,顺义马坡顺悦家园
整租·东四七条4室1厅南/北 100.00㎡ 南北 4室1厅1卫,东城东四东四七条
整租·融科钧廷3室1厅南/北 102.00㎡ 南北 3室1厅1卫,通州马驹桥融科钧廷
整租·华威西里3室1厅南/北 75.27㎡ 南北 3室1厅1卫,朝阳潘家园华威西里
整租·三山新新家园2室1厅南/北 74.00㎡ 南北 2室1厅1卫,顺义后沙峪三山新新家园
整租·苹果社区南区2室1厅南 96.00㎡ 南 2室1厅1卫,朝阳双井苹果社区南区
整租·和悦春风3室1厅南/北 82.00㎡ 南北 3室1厅1卫,大兴大兴新机场和悦春风
整租·广安康润家园东区2室1厅南/北 89.00㎡ 南北 2室1厅1卫,丰台科技园区广安康润家园东区
整租·恒大书院1室1厅西 60.00㎡ 西 1室1厅1卫,朝阳北苑恒大书院
整租·车公庄西路14号院2室1厅南/北 51.00㎡ 南北 2室1厅1卫,海淀甘家口车公庄西路14号院
整租·康泉小区2室1厅南 90.00㎡ 南 2室1厅1卫,朝阳双桥康泉小区
整租·同馨家园3室1厅南 89.64㎡ 南 3室1厅1卫,丰台青塔同馨家园
整租·金惠园三里1室1厅东 100.00㎡ 东 1室1厅1卫,大兴高米店金惠园三里
整租·光大水墨风景2室2厅西南 109.00㎡ 西南 2室2厅1卫,海淀万柳光大水墨风景
整租·国风北京3室2厅南/北 142.98㎡ 南北 3室2厅2卫,朝阳望京国风北京
整租·华腾北塘商务中心4房间东/西/北 356.20㎡ 东西北 4房间0卫,朝阳劲松华腾北塘商务中心
整租·普惠北里2室1厅南/北 59.00㎡ 南北 2室1厅1卫,海淀公主坟普惠北里
整租·紫荆园3室2厅南/北 122.83㎡ 南北 3室2厅2卫,通州武夷花园紫荆园
整租·国门智慧城4房间南 73.00㎡ 南 4房间2卫,顺义后沙峪国门智慧城
整租·前进花园牡丹苑2室1厅南/北 95.00㎡ 南北 2室1厅1卫,顺义顺义城前进花园牡丹苑
整租·西马金润一区1室1厅北 60.00㎡ 北 1室1厅1卫,丰台马家堡西马金润一区
整租·富力城D区3室2厅东南 121.63㎡ 东南 3室2厅2卫,朝阳双井富力城D区
整租·燕归园3室2厅南/北 96.26㎡ 南北 3室2厅1卫,海淀五道口燕归园
整租·时间国际中心4房间东 225.00㎡ 东 4房间0卫,朝阳三元桥时间国际中心
整租·上东8号1房间南 53.00㎡ 南 1房间1卫,朝阳酒仙桥上东8号
整租·新永外文化用品商城2室1厅南 72.98㎡ 南 2室1厅1卫,东城永定门新永外文化用品商城
整租·中国铁建广场2房间西 68.00㎡ 西 2房间1卫,朝阳北苑中国铁建广场
整租·中国铁建国际城3室2厅南/北 118.00㎡ 南北 3室2厅2卫,朝阳北苑中国铁建国际城
整租·玲珑山3房间南 88.00㎡ 南 3房间1卫,朝阳双桥玲珑山
整租·惠新北里1号院2室1厅南/北 56.24㎡ 南北 2室1厅1卫,朝阳惠新西街惠新北里1号院
整租·金隅泰和园2室1厅南/北 75.30㎡ 南北 2室1厅1卫,朝阳高碑店金隅泰和园
整租·长安太和1室1厅西 107.54㎡ 西 1室1厅1卫,东城建国门内长安太和
整租·芍药居甲2号院3室1厅南/西 104.77㎡ 南西 3室1厅1卫,朝阳芍药居芍药居甲2号院
整租·中国铁建广场2房间西 69.00㎡ 西 2房间1卫,朝阳北苑中国铁建广场
整租·三里河一区3号院3室1厅西北 97.70㎡ 西北 3室1厅1卫,西城月坛三里河一区3号院
整租·酒仙桥四街坊2室1厅南/北 60.89㎡ 南北 2室1厅1卫,朝阳酒仙桥酒仙桥四街坊
整租·阜成门外大街乙40号2室1厅南/北 60.00㎡ 南北 2室1厅1卫,西城月坛阜成门外大街乙40号
整租·丽水园3室2厅南/北 129.00㎡ 南北 3室2厅2卫,丰台马家堡丽水园
整租·华远西红世商业1室1厅南 62.49㎡ 南 1室1厅1卫,大兴高米店华远西红世商业
整租·双合家园2室1厅南 86.50㎡ 南 2室1厅1卫,朝阳垡头双合家园
整租·青云南区3室1厅西/北 60.50㎡ 西北 3室1厅1卫,海淀皂君庙青云南区
整租·石园北区2室1厅南/北 70.00㎡ 南北 2室1厅1卫,顺义顺义城石园北区
整租·玉泉路甲65号院2室1厅南/北 62.48㎡ 南北 2室1厅1卫,石景山鲁谷玉泉路甲65号院
整租·现代城5室2厅复式西南 341.02㎡ 西南 5室2厅3卫,朝阳CBD现代城
整租·半岛国际公寓1室1厅东北 62.57㎡ 东北 1室1厅1卫,朝阳太阳宫半岛国际公寓
整租·和平里三区1室1厅东南 41.00㎡ 东南 1室1厅1卫,东城和平里和平里三区
整租·裕民路3号院2室1厅南/北 54.10㎡ 南北 2室1厅1卫,朝阳马甸裕民路3号院
整租·北京青年城3室1厅南/北 107.00㎡ 南北 3室1厅2卫,朝阳北苑北京青年城
整租·八里庄路62号院3房间南/西 95.00㎡ 南西 3房间1卫,海淀定慧寺八里庄路62号院
整租·金星园3室2厅东南/西北 151.00㎡ 东南西北 3室2厅2卫,朝阳三元桥金星园
整租·清缘东里2室1厅南/北 87.51㎡ 南北 2室1厅1卫,海淀清河清缘东里
整租·新起点嘉园6室2厅南/西/北 554.62㎡ 南西北 6室2厅3卫,海淀万柳新起点嘉园
整租·烟树园3室1厅西南 125.00㎡ 西南 3室1厅2卫,海淀世纪城烟树园
整租·大城小镇1室1厅西北 54.00㎡ 西北 1室1厅1卫,大兴旧宫大城小镇
整租·翠微路甲10号院1房间东 46.61㎡ 东 1房间1卫,海淀公主坟翠微路甲10号院
整租·康居社区南一区3室1厅南/北 122.25㎡ 南北 3室1厅1卫,密云果园街道康居社区南一区
整租·京投银泰琨御府1房间南 45.66㎡ 南 1房间1卫,海淀四季青京投银泰琨御府
整租·公园五号1室0厅东 57.25㎡ 东 1室0厅1卫,朝阳甜水园公园五号
整租·富力城D区3室2厅南/北 237.07㎡ 南北 3室2厅3卫,朝阳双井富力城D区
整租·水上华城4室2厅南/北 266.01㎡ 南北 4室2厅3卫,东城广渠门水上华城
整租·四方景园四区1室1厅北 58.00㎡ 北 1室1厅1卫,丰台成寿寺四方景园四区
整租·万泉庄1号院1室1厅南/北 42.90㎡ 南北 1室1厅1卫,海淀苏州桥万泉庄1号院
整租·海云轩3室2厅东南/南 208.73㎡ 东南南 3室2厅2卫,海淀小西天海云轩
整租·风景线3室1厅东/东南/南 152.00㎡ 东东南南 3室1厅2卫,朝阳酒仙桥风景线
整租·中粮祥云国际生活区3室2厅南 151.23㎡ 南 3室2厅2卫,顺义后沙峪中粮祥云国际生活区
整租·左家庄东里1室1厅西南 49.46㎡ 西南 1室1厅1卫,朝阳国展左家庄东里
整租·北京新天地四期1室1厅南 64.00㎡ 南 1室1厅1卫,朝阳常营北京新天地四期
整租·世纪宝鼎3室2厅东/北 249.16㎡ 东北 3室2厅2卫,朝阳亚运村小营世纪宝鼎
整租·首开常青藤二期3室2厅跃层南/北 156.00㎡ 南北 3室2厅2卫,朝阳东坝首开常青藤二期
整租·清泽园3室1厅南/北 120.00㎡ 南北 3室1厅2卫,海淀海淀北部新区清泽园
整租·金宝天阶2室1厅南 55.00㎡ 南 2室1厅1卫,顺义马坡金宝天阶
整租·成府路20号院2室1厅南 61.20㎡ 南 2室1厅1卫,海淀五道口成府路20号院
整租·林肯公园B区3房间南 118.00㎡ 南 3房间2卫,亦庄开发区亦庄林肯公园B区
整租·锦绣园2室1厅东 73.00㎡ 东 2室1厅1卫,朝阳工体锦绣园
整租·星源国际2室2厅南 113.00㎡ 南 2室2厅2卫,朝阳望京星源国际
整租·世界城1室0厅北 61.00㎡ 北 1室0厅1卫,朝阳东大桥世界城
整租·棕榈泉国际公寓3室2厅东/南/北 192.00㎡ 东南北 3室2厅2卫,朝阳朝阳公园棕榈泉国际公寓
整租·首开花香四季1室1厅东 57.00㎡ 东 1室1厅1卫,丰台科技园区首开花香四季
整租·台湖金茂悦3室1厅南/北 88.68㎡ 南北 3室1厅1卫,通州通州其它台湖金茂悦
整租·万和嘉园一区1室0厅南 43.00㎡ 南 1室0厅1卫,海淀海淀北部新区万和嘉园一区
整租·青塔东里2室1厅南/北 73.00㎡ 南北 2室1厅1卫,丰台青塔青塔东里
整租·泰禾金府大院3室1厅东/南/北 116.63㎡ 东南北 3室1厅2卫,丰台新宫泰禾金府大院
整租·十一教工楼3室1厅南/北 68.30㎡ 南北 3室1厅1卫,海淀玉泉路十一教工楼
整租·明天第一城7号院3房间南 77.00㎡ 南 3房间1卫,朝阳立水桥明天第一城7号院
整租·马坡花园一区3室2厅南/北 127.00㎡ 南北 3室2厅1卫,顺义马坡马坡花园一区
整租·小南庄社区3室1厅南/北 81.00㎡ 南北 3室1厅1卫,海淀苏州桥小南庄社区
整租·水木天成3室2厅南/北 129.36㎡ 南北 3室2厅2卫,海淀清河水木天成
整租·梵谷水郡2室1厅西南/西 90.50㎡ 西南西 2室1厅1卫,朝阳酒仙桥梵谷水郡
整租·启迪香山3房间东 48.08㎡ 东 3房间2卫,石景山苹果园启迪香山
整租·北大街北里2室1厅南/北 53.00㎡ 南北 2室1厅1卫,丰台七里庄北大街北里
整租·花市枣苑二期2室2厅东 128.52㎡ 东 2室2厅2卫,东城东花市花市枣苑二期
整租·北三环中路40号院1室1厅东 58.53㎡ 东 1室1厅1卫,海淀小西天北三环中路40号院
整租·柳浪家园北里1室1厅南 48.00㎡ 南 1室1厅1卫,海淀马连洼柳浪家园北里
整租·罗庄东里2室1厅南/北 60.00㎡ 南北 2室1厅1卫,海淀知春路罗庄东里
整租·柳浪家园南里2室1厅南/北 76.00㎡ 南北 2室1厅1卫,海淀马连洼柳浪家园南里
整租·枣营北里1室1厅南/北 59.00㎡ 南北 1室1厅1卫,朝阳农展馆枣营北里
整租·红山世家2室1厅西 86.83㎡ 西 2室1厅1卫,西城广安门红山世家
整租·金地朗悦朗园3室2厅南/西/北 97.00㎡ 南西北 3室2厅1卫,房山长阳金地朗悦朗园
整租·首开国风美唐综合楼2房间南 55.62㎡ 南 2房间1卫,昌平回龙观首开国风美唐综合楼
整租·西马金润二区2室1厅南/北 93.55㎡ 南北 2室1厅1卫,丰台马家堡西马金润二区
整租·瑞都国际北区1室1厅北 61.09㎡ 北 1室1厅1卫,通州九棵树(家乐福)瑞都国际北区
整租·左家庄南里1室1厅南 43.00㎡ 南 1室1厅1卫,朝阳国展左家庄南里
整租·幸福东区1室1厅南/北 66.00㎡ 南北 1室1厅1卫,顺义顺义城幸福东区
整租·地杰长安驿1室0厅南 45.47㎡ 南 1室0厅1卫,朝阳建国门外地杰长安驿
整租·安贞里2室1厅东/南 69.00㎡ 东南 2室1厅1卫,朝阳安贞安贞里
整租·领秀新硅谷1号院6室3厅复式南/北 401.98㎡ 南北 6室3厅4卫,海淀西二旗领秀新硅谷1号院
整租·金隅丽港城1室1厅西 56.00㎡ 西 1室1厅1卫,朝阳望京金隅丽港城
整租·空港合苑3号院2室1厅南 80.00㎡ 南 2室1厅1卫,大兴大兴机场空港空港合苑3号院
整租·远大园五区3室2厅南/北 174.00㎡ 南北 3室2厅2卫,海淀世纪城远大园五区
整租·林肯公寓3房间复式北 59.01㎡ 北 3房间2卫,亦庄开发区亦庄林肯公寓
整租·建国门内大街4室1厅南/北 126.00㎡ 南北 4室1厅1卫,东城建国门外建国门内大街
整租·风景线2室1厅南 115.00㎡ 南 2室1厅1卫,朝阳酒仙桥风景线
整租·二里庄北里2室1厅南/北 63.00㎡ 南北 2室1厅1卫,海淀二里庄二里庄北里
整租·山水蓝维3室1厅南/北 150.00㎡ 南北 3室1厅2卫,朝阳北苑山水蓝维
整租·时代风帆大厦2室1厅西/北 133.00㎡ 西北 2室1厅1卫,丰台马家堡时代风帆大厦
整租·星河城西区1室1厅北 47.00㎡ 北 1室1厅1卫,丰台马家堡星河城西区
整租·天通苑东一区2室1厅东/西 79.00㎡ 东西 2室1厅1卫,昌平天通苑天通苑东一区
整租·灵通观1室1厅南 33.00㎡ 南 1室1厅1卫,朝阳建国门外灵通观
整租·保利海德公园2房间北 43.00㎡ 北 2房间1卫,海淀知春路保利海德公园
整租·同兴园3室1厅南/北 88.00㎡ 南北 3室1厅1卫,大兴西红门同兴园
整租·金地名京2室1厅东 58.00㎡ 东 2室1厅2卫,朝阳四惠金地名京
整租·gogo新世代2室1厅北 57.79㎡ 北 2室1厅1卫,丰台方庄gogo新世代
整租·国兴城2室1厅南/北 83.77㎡ 南北 2室1厅1卫,顺义后沙峪国兴城
整租·三义庙北3室1厅南/北 61.50㎡ 南北 3室1厅1卫,海淀苏州桥三义庙北
整租·奥林匹克花园四期2室1厅南/北 89.33㎡ 南北 2室1厅1卫,朝阳东坝奥林匹克花园四期
整租·尚峯壹号6房间南/北 185.78㎡ 南北 6房间3卫,顺义顺义其它尚峯壹号
整租·佳运园二期1室1厅东北 65.91㎡ 东北 1室1厅1卫,昌平立水桥佳运园二期
整租·广渠门外大街1室1厅南 42.28㎡ 南 1室1厅1卫,朝阳劲松广渠门外大街
整租·世安家园2室1厅东/北 80.43㎡ 东北 2室1厅1卫,朝阳望京世安家园
整租·华严里2室1厅西南 50.00㎡ 西南 2室1厅1卫,朝阳健翔桥华严里
整租·芳星园三区2室1厅东南 64.00㎡ 东南 2室1厅1卫,丰台方庄芳星园三区
整租·果园西里3室2厅南/北 99.98㎡ 南北 3室2厅2卫,密云果园街道果园西里
整租·益辰欣园3室2厅南/北 143.00㎡ 南北 3室2厅2卫,丰台科技园区益辰欣园
整租·丽水园3室2厅南/西/北 107.07㎡ 南西北 3室2厅2卫,丰台马家堡丽水园
整租·山水文园二期5室2厅复式东/南/北 400.04㎡ 东南北 5室2厅3卫,朝阳华威桥山水文园二期
整租·嘉莲苑1室1厅南/西 69.77㎡ 南西 1室1厅1卫,丰台菜户营嘉莲苑
整租·东方太阳城2室2厅南/北 105.25㎡ 南北 2室2厅1卫,顺义顺义其它东方太阳城
整租·景熙国际5房间南 133.78㎡ 南 5房间2卫,海淀甘家口景熙国际
整租·高家园三区2室1厅南/北 61.45㎡ 南北 2室1厅1卫,朝阳酒仙桥高家园三区
整租·新外大街6号院2室1厅南/北 57.00㎡ 南北 2室1厅1卫,西城马甸新外大街6号院
整租·车站路6号院2室1厅南 45.00㎡ 南 2室1厅1卫,东城陶然亭车站路6号院
整租·天作国际中心1室0厅南 38.79㎡ 南 1室0厅1卫,海淀皂君庙天作国际中心
整租·台湖金茂悦3室1厅南/北 89.26㎡ 南北 3室1厅1卫,通州通州其它台湖金茂悦
整租·天畅园2室1厅东 89.00㎡ 东 2室1厅1卫,朝阳奥林匹克公园天畅园
整租·荟康苑1室1厅南/北 60.00㎡ 南北 1室1厅1卫,朝阳常营荟康苑
整租·秋露园2室1厅南/北 77.00㎡ 南北 2室1厅1卫,海淀西北旺秋露园
整租·富海中心1室0厅东/南/西 393.00㎡ 东南西 1室0厅0卫,海淀白石桥富海中心
整租·知春里2室1厅南 54.00㎡ 南 2室1厅1卫,海淀双榆树知春里
整租·新康街1号院2室2厅南/北 130.60㎡ 南北 2室2厅2卫,西城马甸新康街1号院
整租·青云北区2室1厅南/北 59.20㎡ 南北 2室1厅1卫,海淀双榆树青云北区
整租·东交民巷32号院2室1厅东 49.14㎡ 东 2室1厅1卫,东城前门东交民巷32号院
整租·中塔园2室1厅南/北 60.00㎡ 南北 2室1厅1卫,海淀定慧寺中塔园
整租·索家坟2室1厅东/西 58.00㎡ 东西 2室1厅1卫,海淀小西天索家坟
整租·金域华府二期2室1厅南 79.57㎡ 南 2室1厅1卫,昌平回龙观金域华府二期
整租·顶秀青溪4室2厅南/北 149.81㎡ 南北 4室2厅2卫,昌平立水桥顶秀青溪
整租·西大望路12号院2室1厅南/北 59.00㎡ 南北 2室1厅1卫,朝阳大望路西大望路12号院
整租·橡树湾一期2室1厅西南 89.00㎡ 西南 2室1厅1卫,海淀清河橡树湾一期
整租·慧谷阳光3室2厅复式南/北 131.15㎡ 南北 3室2厅2卫,朝阳望京慧谷阳光
整租·天瑞宸章5室2厅南/北 450.00㎡ 南北 5室2厅3卫,朝阳中央别墅区天瑞宸章
整租·西马金润一区3室1厅复式南/北 112.00㎡ 南北 3室1厅1卫,丰台马家堡西马金润一区
整租·嘉丽园1室1厅东 51.93㎡ 东 1室1厅1卫,丰台马家堡嘉丽园
整租·铂宫国际中心3室2厅东北 232.82㎡ 东北 3室2厅3卫,朝阳东大桥铂宫国际中心
整租·明天第一城7号院3房间南/北 79.00㎡ 南北 3房间1卫,朝阳立水桥明天第一城7号院
整租·第三置业4室1厅东/南/西 287.00㎡ 东南西 4室1厅0卫,朝阳三元桥第三置业
整租·第三置业3室1厅东/西/北 233.60㎡ 东西北 3室1厅0卫,朝阳三元桥第三置业
整租·IDCITY艾迪城2房间北 47.00㎡ 北 2房间1卫,顺义后沙峪IDCITY艾迪城
整租·怡海花园恒泰园2室1厅西南 138.19㎡ 西南 2室1厅1卫,丰台科技园区怡海花园恒泰园
整租·保利金泉3室2厅东南 161.00㎡ 东南 3室2厅2卫,朝阳亚运村保利金泉
整租·东润枫景三期3室2厅南/北 177.00㎡ 南北 3室2厅3卫,朝阳朝阳公园东润枫景三期
整租·住总正华新国展满庭芳3室1厅南/北 103.68㎡ 南北 3室1厅1卫,顺义中央别墅区住总正华新国展满庭芳
整租·富力湾5室3厅复式东/南/西/北 302.40㎡ 东南西北 5室3厅5卫,顺义马坡富力湾
整租·怡海花园恒泰园2室1厅南 70.00㎡ 南 2室1厅1卫,丰台科技园区怡海花园恒泰园
整租·亦庄北岸2室1厅南 86.00㎡ 南 2室1厅1卫,大兴旧宫亦庄北岸
整租·曙光西里2室1厅西 54.45㎡ 西 2室1厅1卫,朝阳三元桥曙光西里
整租·学院派2房间西 42.22㎡ 西 2房间1卫,海淀小西天学院派
整租·和泓四季3室1厅东/北 66.00㎡ 东北 3室1厅1卫,海淀四季青和泓四季
整租·三源里北小街1室1厅东南 36.00㎡ 东南 1室1厅1卫,朝阳三元桥三源里北小街
整租·万国城MOMA2室1厅东 100.00㎡ 东 2室1厅1卫,东城东直门万国城MOMA
整租·宏源公寓2室1厅西北 104.00㎡ 西北 2室1厅2卫,朝阳大山子宏源公寓
整租·嘉园三里1室1厅西 51.00㎡ 西 1室1厅1卫,丰台马家堡嘉园三里
整租·香麓雅庭3房间东 80.00㎡ 东 3房间1卫,海淀海淀北部新区香麓雅庭
整租·茂华景上景3房间东 60.40㎡ 东 3房间2卫,石景山杨庄茂华景上景
整租·融科钧廷2室2厅南/北 114.00㎡ 南北 2室2厅2卫,通州马驹桥融科钧廷
整租·茗筑2室1厅西南 95.86㎡ 西南 2室1厅1卫,西城马连道茗筑
整租·长远天地3室1厅东南 236.75㎡ 东南 3室1厅1卫,海淀苏州桥长远天地
整租·莫奈花园4室2厅南 185.00㎡ 南 4室2厅3卫,顺义后沙峪莫奈花园
整租·常楹公元自由派1房间北 57.00㎡ 北 1房间1卫,朝阳常营常楹公元自由派
整租·垡头北里2室1厅东 50.20㎡ 东 2室1厅1卫,朝阳垡头垡头北里
整租·清澄名苑北区0室0厅东 65.00㎡ 东 未知室0厅1卫,大兴黄村中清澄名苑北区
整租·定慧西里2室1厅南 71.80㎡ 南 2室1厅1卫,海淀定慧寺定慧西里
整租·萬橡悦府3室1厅南/北 89.54㎡ 南北 3室1厅2卫,昌平回龙观萬橡悦府
整租·双花园西里2室2厅东 97.00㎡ 东 2室2厅1卫,朝阳双井双花园西里
整租·凯旋城1室0厅西 72.00㎡ 西 1室0厅1卫,朝阳亚运村小营凯旋城
整租·苹果派2室1厅东北 78.00㎡ 东北 2室1厅1卫,朝阳常营苹果派
整租·望京金茂府3室2厅南/北 225.00㎡ 南北 3室2厅3卫,朝阳望京望京金茂府
整租·永泰庄6号院1室1厅南 40.59㎡ 南 1室1厅1卫,海淀清河永泰庄6号院
整租·龙博苑二区3室1厅南/北 87.14㎡ 南北 3室1厅1卫,昌平回龙观龙博苑二区
整租·首开国悦嘉园3室1厅南/北 102.00㎡ 南北 3室1厅1卫,密云鼓楼街道首开国悦嘉园
整租·观林阁2室1厅南/北 97.00㎡ 南北 2室1厅1卫,顺义后沙峪观林阁
整租·红联北村2室1厅西北 62.70㎡ 西北 2室1厅1卫,海淀小西天红联北村
整租·长阳半岛怡和路8号院3室1厅南/北 140.00㎡ 南北 3室1厅2卫,房山长阳长阳半岛怡和路8号院
整租·水碓子东路2室2厅南 55.49㎡ 南 2室2厅1卫,朝阳甜水园水碓子东路
整租·银河湾3室2厅东南/西北 176.81㎡ 东南西北 3室2厅2卫,朝阳酒仙桥银河湾
整租·东货场路38号院2室1厅南/北 56.00㎡ 南北 2室1厅1卫,丰台北大地东货场路38号院
整租·翡翠城一期5室2厅南/北 240.00㎡ 南北 5室2厅3卫,大兴高米店翡翠城一期
整租·北方明珠1室0厅西南 112.00㎡ 西南 1室0厅1卫,昌平立水桥北方明珠
整租·智地香蜜湾4房间西南 67.00㎡ 西南 4房间2卫,顺义后沙峪智地香蜜湾
整租·望京花园东区3室2厅东 120.00㎡ 东 3室2厅2卫,朝阳望京望京花园东区
整租·怡秀园小区2室1厅南 66.90㎡ 南 2室1厅1卫,海淀万柳怡秀园小区
整租·北京人家2室1厅南/北 99.00㎡ 南北 2室1厅1卫,昌平回龙观北京人家
整租·原生墅4室2厅复式东/南/西 208.28㎡ 东南西 4室2厅3卫,大兴高米店原生墅
整租·中湾国际1室0厅南 41.52㎡ 南 1室0厅1卫,海淀苏州桥中湾国际
整租·瑞都国际南区2室1厅东南 84.90㎡ 东南 2室1厅1卫,通州九棵树(家乐福)瑞都国际南区
整租·康泽佳苑北区2室1厅南/北 78.00㎡ 南北 2室1厅1卫,房山长阳康泽佳苑北区
整租·观景园2室1厅南/北 90.00㎡ 南北 2室1厅1卫,海淀清河观景园
整租·中和家园3室1厅复式南/北 128.00㎡ 南北 3室1厅2卫,朝阳南沙滩中和家园
整租·建新胡同10号楼2室1厅南/北 66.00㎡ 南北 2室1厅1卫,昌平鼓楼大街建新胡同10号楼
整租·华贸公寓3室1厅南/北 159.00㎡ 南北 3室1厅2卫,朝阳CBD华贸公寓
整租·中粮祥云国际生活区2房间复式南 58.00㎡ 南 2房间1卫,顺义后沙峪中粮祥云国际生活区
整租·瑞悦府3室2厅南/北 89.91㎡ 南北 3室2厅1卫,朝阳中央别墅区瑞悦府
整租·园墅4室2厅南/北 260.00㎡ 南北 4室2厅3卫,昌平回龙观园墅
整租·远洋万和城A区4室2厅南/西/北 287.63㎡ 南西北 4室2厅3卫,朝阳亚运村小营远洋万和城A区
整租·翡翠公园二期4室2厅南/北 121.68㎡ 南北 4室2厅2卫,昌平北七家翡翠公园二期
整租·公园18723室2厅南/北 194.81㎡ 南北 3室2厅2卫,朝阳石佛营公园1872
整租·珠江绿洲3室2厅南/北 148.00㎡ 南北 3室2厅2卫,朝阳双桥珠江绿洲
整租·和平西街2室1厅东/北 53.64㎡ 东北 2室1厅1卫,朝阳和平里和平西街
整租·京投发展公园悦府一区3室1厅南/北 114.00㎡ 南北 3室1厅2卫,昌平回龙观京投发展公园悦府一区
整租·万通天竺新新家园5室1厅复式南/北 381.45㎡ 南北 5室1厅5卫,顺义天竺万通天竺新新家园
整租·建材城东二里3室1厅南/北 82.49㎡ 南北 3室1厅1卫,海淀西三旗建材城东二里
整租·二里庄北里2室1厅南/北 60.00㎡ 南北 2室1厅1卫,海淀二里庄二里庄北里
整租·广安康润家园东区2室1厅南/北 83.00㎡ 南北 2室1厅1卫,丰台科技园区广安康润家园东区
整租·北回归线4房间北 72.73㎡ 北 4房间1卫,昌平回龙观北回归线
整租·六铺炕二区3室1厅东南 82.70㎡ 东南 3室1厅1卫,西城六铺炕六铺炕二区
整租·兴隆家园2室1厅西北 90.00㎡ 西北 2室1厅1卫,朝阳高碑店兴隆家园
整租·江南山水3室2厅南/北 156.00㎡ 南北 3室2厅2卫,朝阳小红门江南山水
整租·嘉瑞公寓2房间北 106.00㎡ 北 2房间1卫,朝阳望京嘉瑞公寓
整租·行宫园三里2室1厅南/北 71.00㎡ 南北 2室1厅1卫,房山良乡行宫园三里
整租·青年湖南街1室1厅东/西 49.00㎡ 东西 1室1厅1卫,东城安定门青年湖南街
整租·二里庄小区3室2厅东/东南 106.00㎡ 东东南 3室2厅2卫,海淀二里庄二里庄小区
整租·香花畦家园3室2厅南/北 147.00㎡ 南北 3室2厅2卫,顺义后沙峪香花畦家园
整租·恒盛波尔多小镇南区4室1厅复式南/北 214.05㎡ 南北 4室1厅2卫,大兴大兴新机场洋房别墅区恒盛波尔多小镇南区
整租·绿地中央广场1室1厅南 91.28㎡ 南 1室1厅0卫,大兴高米店绿地中央广场
整租·长阳国际城一区3室1厅南/北 89.00㎡ 南北 3室1厅1卫,房山长阳长阳国际城一区
整租·绿地启航社1房间东 55.00㎡ 东 1房间1卫,房山长阳绿地启航社
整租·瑞辰国际中心1房间东 168.94㎡ 东 1房间0卫,朝阳农展馆瑞辰国际中心
整租·优山美地C区4室2厅南/北 420.00㎡ 南北 4室2厅3卫,顺义中央别墅区优山美地C区
整租·半岛金街4房间东南 104.00㎡ 东南 4房间1卫,房山长阳半岛金街
整租·蓬莱公寓东区2室1厅南/北 120.00㎡ 南北 2室1厅1卫,昌平北七家蓬莱公寓东区
整租·玉兰苑3室2厅南/北 105.00㎡ 南北 3室2厅3卫,顺义顺义城玉兰苑
整租·龙城花园中五区3室1厅南/北 123.00㎡ 南北 3室1厅1卫,昌平回龙观龙城花园中五区
整租·天坛东里南区1室0厅南 37.04㎡ 南 1室0厅1卫,东城天坛天坛东里南区
整租·屯三里2房间北 106.87㎡ 北 2房间1卫,朝阳工体屯三里
整租·君安国际4房间东南 152.00㎡ 东南 4房间2卫,亦庄开发区亦庄君安国际
整租·天行建商务大厦5室2厅北 246.41㎡ 北 5室2厅0卫,海淀公主坟天行建商务大厦
整租·广馨居2室1厅西北 60.26㎡ 西北 2室1厅1卫,朝阳双井广馨居
整租·空港吉祥花园2室1厅南/北 85.00㎡ 南北 2室1厅1卫,顺义后沙峪空港吉祥花园
整租·珠江骏景北区1室1厅北 47.48㎡ 北 1室1厅1卫,丰台大红门珠江骏景北区
整租·东安街头条2室1厅南/北 57.22㎡ 南北 2室1厅1卫,丰台北大地东安街头条
整租·干休所家属院3室1厅南/北 69.00㎡ 南北 3室1厅1卫,通州万达干休所家属院
整租·公园18721室2厅西 93.00㎡ 西 1室2厅1卫,朝阳石佛营公园1872
整租·原香小镇一区3室1厅南/北 121.76㎡ 南北 3室1厅2卫,房山长阳原香小镇一区
整租·天鹅湾北区3室2厅南/北 176.43㎡ 南北 3室2厅2卫,朝阳朝青天鹅湾北区
整租·华威西里3室1厅南/北 75.27㎡ 南北 3室1厅1卫,朝阳潘家园华威西里
整租·天鹅湾北区5室3厅南/北 367.19㎡ 南北 5室3厅4卫,朝阳朝青天鹅湾北区
整租·东海仪园1室1厅南 60.00㎡ 南 1室1厅1卫,丰台青塔东海仪园
